delta_x,delta_x_est,delta_x_nrs,delta_y,delta_y_est,samplesize,noteworthy,recursion,features,
9.765625E-4,0.0,0.015873015873015872,0.0013521408897421451,0.0019968253150108536,62,0.8333333333333334,4,6,
0.0,0.0,0.0125,0.0,0.0012969631228092102,79,1.0,4,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0012394032691863122,60,1.0,3,5,
0.0,0.0,0.012987012987012988,0.0,0.0013468705899993276,76,1.0,4,5,
9.765625E-4,0.001953125,0.012345679012345678,0.0013521408897421451,0.0017294999702196963,80,1.0,4,4,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0014900271226278314,80,1.0,4,5,
0.0,0.0,0.02127659574468085,0.0,0.0019545203659588482,46,1.0,3,6,
0.0068359375,0.001953125,0.01639344262295082,0.008947500208665415,0.0020217493478425328,60,1.0,3,4,
9.765625E-4,0.0,0.012658227848101266,0.0013521408897421451,0.0012313974069338399,78,0.8,4,5,
9.765625E-4,0.0,0.0125,0.0013521408897421451,0.0012313974069338399,79,0.8,4,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0014733859903506166,60,1.0,3,5,
0.0,0.0,0.012987012987012988,0.0,0.0013468705899993276,76,1.0,4,5,
0.001953125,0.0,0.015151515151515152,0.003488857357484353,0.0023290923114229626,65,0.8333333333333334,4,6,
0.0029296875,0.001953125,0.024390243902439025,0.0048910775394391225,0.0012278160022379993,40,1.0,2,4,
0.0,0.0,0.021739130434782608,0.0,0.006248635210723521,45,1.0,3,7,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0017692544381864548,80,1.0,4,5,
0.0,0.001953125,0.01639344262295082,0.0,0.0023914271172499526,60,1.0,3,4,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
0.0,0.0,0.022727272727272728,0.0,0.006248635210723521,43,1.0,3,7,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,0.0014571334010071392,60,1.0,3,4,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0013776087617459094,60,1.0,3,4,
9.765625E-4,0.0,0.015873015873015872,0.0013521408897421451,0.004353213006062635,62,0.7142857142857143,4,7,
0.0,0.0,0.015625,0.0,0.0019545203659588482,63,1.0,4,6,
0.0,0.0,0.012345679012345678,0.0,0.0015422879321163874,80,1.0,4,5,
0.0,0.001953125,0.01639344262295082,0.0,0.002345303397483257,60,1.0,3,4,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
0.0,0.0,0.01282051282051282,0.0,0.0011663346099035372,77,1.0,4,5,
0.001953125,0.0,0.01639344262295082,0.003488857357484353,0.0015603799802431783,60,0.8,3,5,
0.0,0.0,0.021739130434782608,0.0,0.003501072098634758,45,1.0,3,7,
0.0,9.765625E-4,0.012345679012345678,0.0,0.001264218091304458,80,1.0,4,4,
0.0,0.001953125,0.01639344262295082,0.0,0.0020574754942962142,60,1.0,3,4,
9.765625E-4,0.0,0.012345679012345678,0.0013521408897421451,0.002002085605266941,80,0.6666666666666666,5,6,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0015185923067280668,60,1.0,3,5,
0.01171875,0.0,0.015873015873015872,0.011084216676407624,0.0018033182757515318,62,0.6666666666666666,4,6,
9.765625E-4,0.0,0.02,0.0013521408897421451,0.003072507057784451,49,0.6666666666666666,3,6,
0.001953125,9.765625E-4,0.01639344262295082,0.003488857357484353,0.0015603799802431783,60,0.8,3,5,
0.00390625,9.765625E-4,0.01639344262295082,0.005692346214841828,0.0015821338025243778,60,0.8,3,5,
0.0,0.0,0.01639344262295082,0.0,0.0011663346099035372,60,1.0,3,5,
0.0,9.765625E-4,0.024390243902439025,0.0,0.0017115822640422532,40,1.0,2,5,
0.0,0.0,0.015873015873015872,0.0,0.0019545203659588482,62,1.0,4,6,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
9.765625E-4,0.0,0.0125,0.0013521408897421451,0.0012313974069338399,79,0.8,4,5,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0015203876862919746,80,1.0,4,4,
0.0,0.0,0.01639344262295082,0.0,0.003501072098634758,60,1.0,4,7,
0.0,0.0,0.017241379310344827,0.0,0.001692910752542137,57,1.0,3,5,
9.765625E-4,0.0,0.022727272727272728,0.0013521408897421451,0.006037634588937664,43,0.5714285714285714,3,7,
0.0029296875,9.765625E-4,0.012345679012345678,0.0048910775394391225,0.0010107188197174405,80,1.0,4,4,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,0.0013242385628261643,60,1.0,3,4,
0.001953125,9.765625E-4,0.024390243902439025,0.003488857357484353,0.001231320510944452,40,0.8,2,5,
0.005859375,0.0,0.0196078431372549,0.007361655955262505,0.0015040745626471522,50,0.8333333333333334,3,6,
